SILOSY PŁASKODENNE,,Uwaga: przedstawione ceny poszczególnych towarów na dzień,,"Prezentowane towary nie stanowią oferty w rozumieniu przepisów Kodeksu cywilnego, a jedynie zaproszenie do składania ofert.",,,,,,,,,,,,,,,,,,,,,,,,*PÓŹNIEJ MOŻNA ZROBIĆ NA PS220,,,,,,,,
LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,,,,,,,,,,* JEŚLI W OPCJI TO RAZEM Z OPCJA 22,,*może być M,,,"*UWAGA: KOMPLETACJA PRZENOŚNIKA PODPODŁOGOWEGO WYSTAJĄCEGO MINIMLANIE POZA SILOS PS160, WYCENA DŁUŻSZEGO PRZENOŚNIKA LUB PS220 NA ZAPYTANIE W FIRMIE KONSIL",,,,*UWAGA: CZYTNIK JEST NIEZBĘDNY DO ODCZYTU SOND TEMP. WYSTARCZY 1 CZYTNIK DO WIELU SOND,,,,
KATEGORIA,BLOCZKII BETONOWE,,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,,OPCJA 31,OPCJA 32,OPCJA 33
MODEL,M/OPCJA 1,XO1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,M/OPCJA 7,OPCJA 8,OPCJA 12,OPCJA 9,OPCJA 10,OPCJA 11,M/OPCJA 13,OPCJA 14,OPCJA 15,OPCJA 16,OPCJA 17,OPCJA 18,OPCJA 31*,OPCJA 19,OPCJA 20,OPCJA 21*,OPCJA 22*,OPCJA 23*,OPCJA 24,OPCJA 25,M/OPCJA 26*,OPCJA 27,OPCJA 28,OPCJA 30,opcja 32,,,,
,BLOCZKI BETONOWE,,DRABINA ZEWNĘTRZNA,drabina wewnętrzna,schody dachowe,podest wieńca,pomost eksploatacyjny,właz dolny,właz dachowy,SCHODY SPIRALNE,podłoga płaska perforowana,"WEWNĘTRZNA, PODŁOGA SKOŚNA PERFOROWANA",wlot powietrza,wentylator tLoczący powietrze,wentylator wyciągowy,nagrzewnica powietrza,wywietrznik DACHOWY,manometr wodny,sonda temperatury,CZYTNIK TEMPERATURY,centralny wlot załadunkowy,boczny wlot załadunkowy,workownik,rura antydynamiczna,Rekaw rozładowczy,PRZEdtuzenie rękawa ROZŁADOWCZEGO,kanał awaryjny,przenośnik podpodłogowy fi 160,,przenośnik ślimakowy wewnętrzny,moduł kontroli silosu,GÓRNY WSYP LEJOWY,,,,
NBIN10,ELEM.CERAM.,28,S-STANDARD,S-STANDARD,-,-,-,-,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,-,-,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN10W,ELEM.CERAM.,28,S-STANDARD,S-STANDARD,-,-,-,-,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,-,-,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20N,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20W,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20WW,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40NS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,,REKROZ-PR,KANALAW-1,,,-,MKS-100/2,WSYPLEJ200/400,,,,
